INSTNM,STABBR,CONTROL,PREDDEG,COSTT4_A,NPT4_PUB,NPT4_PRIV,MD_EARN_WNE_P10,GRAD_DEBT_MDN,C150_4,UGDS
Charles R Drew University of Medicine and Science,CA,2,3,33973.0,,27789.0,83438.0,18750,0.5,233.0
Concordia University-Irvine,CA,2,3,56500.0,,28046.0,65083.0,24247,0.625,1456.0
San Diego Christian College,CA,2,3,40057.0,,7871.0,49766.0,24941,0.2353,91.0
Church Divinity School of the Pacific,CA,2,4,,,,,PS,,
Citrus College,CA,1,1,12412.0,3800.0,,42065.0,7851,,8126.0
Citrus Heights Beauty College,CA,3,1,,,30408.0,,6333,,110.0
City College of San Francisco,CA,1,1,17007.0,7272.0,,45805.0,8218,,16060.0
Claremont Graduate University,CA,2,4,,,,64372.0,PS,,
Claremont McKenna College,CA,2,3,82127.0,,27384.0,104736.0,13500,0.9517,1379.0
Milan Institute-Visalia,CA,3,1,,,28638.0,32493.0,8124,,632.0
Clovis Adult Education,CA,1,1,,,,50098.0,PS,,268.0
Coastline Community College,CA,1,2,17984.0,9605.0,,44483.0,8250,,7007.0
University of Silicon Valley,CA,3,3,36361.0,,30799.0,51017.0,31000,0.3492,377.0
Coba Academy,CA,3,1,,,16761.0,21208.0,6333,,100.0
Western University of Health Sciences,CA,2,4,,,,,PS,,
Columbia College,CA,1,2,19688.0,15468.0,,39035.0,PS,,1917.0
California College of ASU,CA,2,3,33732.0,,30320.0,42014.0,25000,0.4842,149.0
Compton College,CA,1,2,17782.0,11103.0,,34181.0,PS,,2881.0
Contra Costa College,CA,1,1,14511.0,6522.0,,40850.0,PS,,4805.0
Cosumnes River College,CA,1,2,12005.0,4648.0,,42446.0,10722,,13527.0
Crafton Hills College,CA,1,2,18384.0,10655.0,,42553.0,PS,,5074.0
Cuesta College,CA,1,1,20561.0,12898.0,,46047.0,13750,,6879.0
Cuyamaca College,CA,1,2,15940.0,6187.0,,32435.0,PS,,6788.0
Cypress College,CA,1,1,15752.0,4683.0,,43533.0,10000,0.351,12309.0
De Anza College,CA,1,2,13167.0,4667.0,,56596.0,5625,,14953.0
International School of Beauty Inc,CA,3,1,,,13450.0,19799.0,7083,,173.0
College of the Desert,CA,1,2,20053.0,11812.0,,39020.0,PS,,8900.0
Design Institute of San Diego,CA,3,3,42093.0,,31293.0,46920.0,36844,0.5,92.0
DHARMA REALM BUDDHIST UNIVERSITY,CA,2,0,,,,,,,
Diablo Valley College,CA,1,2,14804.0,6142.0,,51378.0,10021,,14734.0
Dominican University of California,CA,2,3,68620.0,,50218.0,84713.0,27000,0.7627,1178.0
Dominican School of Philosophy & Theology,CA,2,4,,,,,,,
East Los Angeles College,CA,1,2,18645.0,9791.0,,42006.0,10500,,24401.0
El Camino Community College District,CA,1,2,13376.0,5170.0,,41589.0,PS,,18994.0
Emperor's College of Traditional Oriental Medicine,CA,3,4,,,,,PS,,
Empire College,CA,3,4,,,,43090.0,13000,0.6466,
Evergreen Valley College,CA,1,2,22557.0,12591.0,,53077.0,13219,,7670.0
FIDM-Fashion Institute of Design & Merchandising,CA,3,2,53393.0,,41493.0,49840.0,13734,0.6715,1319.0
Feather River Community College District,CA,1,2,16502.0,6520.0,,38142.0,10750,0.4688,1574.0
Federico Beauty Institute,CA,3,1,,,25736.0,29856.0,6333,,245.0
Fielding Graduate University,CA,2,4,,,,,PS,,
Five Branches University,CA,3,4,,,,,PS,,
Redondo Beach Beauty College,CA,3,1,,,,,PS,,52.0
Foothill College,CA,1,1,15772.0,7549.0,,57072.0,10500,0.6,10922.0
Franciscan School of Theology,CA,2,4,,,,,,,
Fredrick and Charles Beauty College,CA,3,1,,,14402.0,21826.0,PS,,67.0
Fresno City College,CA,1,2,12063.0,1699.0,,37361.0,4058,,18774.0
Fresno Pacific University,CA,2,3,42673.0,,14317.0,58896.0,23146,0.5594,1614.0
Fuller Theological Seminary,CA,2,4,,,,,PS,,
Fullerton College,CA,1,2,16206.0,8090.0,,43366.0,4500,,16637.0
Gavilan College,CA,1,2,10484.0,2244.0,,47169.0,PS,,4410.0
Gemological Institute of America-Carlsbad,CA,2,1,,,31435.0,42588.0,PS,,308.0
Glendale Community College,CA,1,2,15802.0,7461.0,,41540.0,8972,,9807.0
Glendale Career College,CA,3,2,,,46212.0,41472.0,9500,0.5934,854.0
Golden Gate University,CA,2,3,,,,87434.0,29875,,550.0
Golden West College,CA,1,2,12206.0,2861.0,,43145.0,7179,,8919.0
Graduate Theological Union,CA,2,4,,,,,,,
Grossmont College,CA,1,2,11543.0,2755.0,,40309.0,8625,,11467.0
Salon Success Academy-Riverside,CA,3,1,,,13095.0,21777.0,11884,,173.0
Hartnell College,CA,1,2,12050.0,2895.0,,44316.0,PS,,7153.0
Harvey Mudd College,CA,2,3,84896.0,,32492.0,138687.0,25000,0.9375,915.0
Hilltop Beauty School,CA,3,1,,,,25477.0,PS,,79.0
Pacifica Graduate Institute,CA,3,4,,,,,PS,,
California State Polytechnic University-Humboldt,CA,1,3,24412.0,13167.0,,47626.0,18000,0.4663,5491.0
Humphreys University-Stockton and Modesto Campuses,CA,2,3,20286.0,,11410.0,39248.0,35500,0.5,178.0
Imperial Valley College,CA,1,2,12466.0,1697.0,,34487.0,PS,,6881.0
Institute for Business and Technology,CA,3,1,,,25471.0,38015.0,7853,,609.0
Interior Designers Institute,CA,3,2,,,,54974.0,22082,0.875,107.0
Irvine Valley College,CA,1,2,11750.0,1886.0,,49156.0,6500,,9577.0
Bellus Academy-El Cajon,CA,3,1,,,29547.0,30807.0,6333,,205.0
American Jewish University,CA,2,1,,,,61954.0,PS,0.3077,69.0
Reedley College,CA,1,1,11413.0,1584.0,,38493.0,2819,,4853.0
Life Pacific University,CA,2,3,33193.0,,22343.0,43299.0,22395,0.5682,393.0
University of La Verne,CA,2,3,61564.0,,26925.0,65464.0,23500,0.6545,3341.0
Laguna College of Art and Design,CA,2,3,56183.0,,42354.0,47867.0,27000,0.6304,776.0
Lake Tahoe Community College,CA,1,2,17731.0,10975.0,,36657.0,PS,,2909.0
Lancaster Beauty School,CA,3,1,,,21235.0,16220.0,6333,,131.0
Laney College,CA,1,2,22777.0,15805.0,,37282.0,PS,,7158.0
Lassen Community College,CA,1,2,17063.0,7677.0,,35994.0,PS,,1564.0
Latin American Bible Institute,CA,2,2,14780.0,,9140.0,,,0.6,78.0
Life Chiropractic College West,CA,2,4,,,,,PS,,
Lincoln University,CA,2,3,,,,53695.0,PS,0.75,223.0
Southern California Seminary,CA,2,3,,,,39607.0,PS,,30.0
La Sierra University,CA,2,3,49365.0,,26217.0,61824.0,27000,0.6806,1155.0
Loma Linda University,CA,2,3,,,,89816.0,20854,,867.0
Long Beach City College,CA,1,1,12664.0,5001.0,,38870.0,10500,,21899.0
Southern California University of Health Sciences,CA,2,1,50742.0,,45633.0,70649.0,11400,,132.0
Los Angeles Harbor College,CA,1,2,19463.0,11245.0,,41133.0,PS,,6496.0
Los Angeles Pierce College,CA,1,2,19844.0,11196.0,,44521.0,12936,,13029.0
